"Constituency Name","Tactical Voting Advice","Stand-aside Advice","Lab-Con","Win19","Second19","CON%","LAB%","LD%","GRN%","Labour Target","Lib Dem target"
"Tiverton and Minehead","NOT LABOUR",,-47.0,"Con","LD",61.3,14.3,19.5,4.3,508,92
"East Surrey","NOT LABOUR",,-47.2,"Con","LD",60.3,13.2,20.4,3.0,509,81
"South Cotswolds","LIB DEM",,-47.2,"Con","LD",57.9,10.7,27.6,3.8,510,53
"North Herefordshire","GREEN","LIB DEM",-47.3,"Con","Lab",62.5,15.2,13.5,8.8,511,
"Newbury","LIB DEM","GREEN",-47.4,"Con","LD",55.1,7.7,32.6,4.0,512,28
"Havant","NOT LABOUR",,-47.4,"Con","Lab",65.4,18.0,12.4,3.5,513,
"North Devon","LIB DEM","GREEN",-47.5,"Con","LD",56.6,9.2,30.0,3.2,514,43
"Sleaford and North Hykeham","NOT LABOUR",,-47.9,"Con","Lab",66.5,18.6,8.2,2.4,515,
"North West Essex","NOT LABOUR",,-47.9,"Con","LD",61.7,13.8,19.7,4.8,516,90
"Glastonbury and Somerton","LIB DEM","GREEN",-48.0,"Con","LD",57.5,9.6,30.9,2.0,517,39
"Gosport","NOT LABOUR",,-48.0,"Con","Lab",66.5,18.5,11.3,3.7,518,
"Aldridge-Brownhills","NOT LABOUR",,-48.1,"Con","Lab",69.6,21.5,5.6,1.8,519,
"Sevenoaks","NOT LABOUR",,-48.2,"Con","LD",61.7,13.5,19.4,3.4,520,93
"Surrey Heath","LIB DEM",,-48.5,"Con","LD",57.9,9.4,28.0,3.5,521,52
"Droitwich and Evesham","NOT LABOUR",,-48.6,"Con","Lab",65.7,17.0,12.0,4.0,522,
"Hamble Valley","LIB DEM",,-48.7,"Con","LD",62.2,13.6,21.1,3.1,523,80
"Rutland and Stamford","NOT LABOUR",,-48.7,"Con","LD",63.3,14.7,15.8,3.6,524,129
"Sussex Weald","NOT LABOUR",,-48.8,"Con","LD",63.7,14.9,16.8,4.6,525,117
"Stratford-on-Avon","LIB DEM",,-48.8,"Con","LD",60.2,11.3,24.7,3.8,526,63
"Winchester","LIB DEM","GREEN",-49.3,"Con","LD",54.0,4.8,39.9,0.9,527,15
"Witham","NOT LABOUR",,-49.3,"Con","Lab",66.7,17.5,10.0,5.8,528,
"Braintree","NOT LABOUR",,-49.3,"Con","Lab",67.5,18.2,9.7,0.5,529,
"North Cornwall","LIB DEM","GREEN",-49.4,"Con","LD",59.1,9.6,29.9,0.2,530,44
"South Shropshire","NOT LABOUR",,-49.6,"Con","Lab",65.4,15.8,15.4,3.5,531,137
"Tonbridge","NOT LABOUR",,-49.7,"Con","Lab",64.8,15.1,12.3,7.9,532,
"New Forest East","NOT LABOUR",,-49.7,"Con","Lab",64.5,14.8,14.6,4.8,533,
"Thornbury and Yate","LIB DEM","GREEN",-49.7,"Con","LD",58.5,8.7,32.6,0.2,534,29
"Wetherby and Easingwold","NOT LABOUR",,-49.9,"Con","Lab",68.2,18.2,7.9,3.9,535,
"East Wiltshire","NOT LABOUR",,-50.1,"Con","Lab",65.9,15.9,14.5,3.7,536,
"South West Norfolk","NOT LABOUR",,-50.3,"Con","Lab",68.7,18.3,8.3,3.0,537,
"Hinckley and Bosworth","NOT LABOUR",,-50.4,"Con","LD",64.6,14.2,18.2,2.9,538,101
"New Forest West","NOT LABOUR",,-50.7,"Con","LD",63.8,13.1,15.3,7.7,539,139
"North Norfolk","LIB DEM","GREEN",-50.7,"Con","LD",58.5,7.7,30.4,0.1,540,41
"North East Hampshire","LIB DEM",,-51.7,"Con","LD",61.9,10.2,22.4,3.0,541,74
"Brigg and Immingham","NOT LABOUR",,-51.7,"Con","Lab",71.9,20.2,4.4,2.8,542,
"North Dorset","NOT LABOUR",,-51.8,"Con","LD",63.8,11.9,20.4,3.9,543,82
"Yeovil","LIB DEM","GREEN",-51.8,"Con","LD",58.2,6.3,31.1,2.8,544,36
"Farnham and Bordon","LIB DEM","GREEN",-52.6,"Con","LD",59.4,6.8,32.8,0.9,545,26
"Christchurch","NOT LABOUR",,-52.7,"Con","LD",65.6,12.9,17.4,4.2,546,109
"Mid Dorset and North Poole","LIB DEM","GREEN",-52.8,"Con","LD",60.0,7.3,29.9,2.9,547,45
"Louth and Horncastle","NOT LABOUR",,-54.7,"Con","Lab",72.5,17.7,7.8,0.0,548,
"Brentwood and Ongar","NOT LABOUR",,-54.9,"Con","Lab",68.5,13.7,13.6,3.2,549,
"Clacton","NOT LABOUR",,-56.3,"Con","Lab",71.9,15.6,6.2,2.9,550,
"Rayleigh and Wickford","NOT LABOUR",,-57.3,"Con","Lab",72.9,15.7,7.7,3.7,551,
"Kingswinford and South Staffordshire","NOT LABOUR",,-57.5,"Con","Lab",74.3,16.8,5.3,3.5,552,
"North East Cambridgeshire","NOT LABOUR",,-57.8,"Con","Lab",73.9,16.0,6.7,3.4,553,
"Weald of Kent","NOT LABOUR",,-57.9,"Con","Lab",72.0,14.1,10.1,3.9,554,
"Maldon","NOT LABOUR",,-59.6,"Con","Lab",72.2,12.6,11.7,3.4,555,
